"id","nama","email","pekerjaan","wilayah","umur","pendapatan","status_pernikahan","tanggal_survey"
1,Darmaji Darmaji Adriansyah,najam7@gmail.co.id,International Infrastructure Associate,Majalengka,49,9919180.00,false,2025-12-10
2,Juwita Azalea,sabrina_prabowo73@gmail.com,Internal Branding Supervisor,Sengkang,33,10513157.00,false,2025-06-10
3,Mayasari Rika,elisa20@yahoo.co.id,Forward Quality Coordinator,Cilegon,65,17765389.00,true,2025-07-05
4,Gibran Gibran Prabowo,maman_sinaga@yahoo.com,Direct Mobility Orchestrator,Wonogiri,64,22157328.00,false,2025-04-09
5,Galuh Galuh Maulana,rahman.marbun63@yahoo.co.id,Global Functionality Producer,Cirebon,32,13741756.00,false,2025-05-26
6,Cici Cici Puspasari,warsa.sihotang7@gmail.co.id,International Accountability Associate,Sinjai,37,13370752.00,true,2025-08-17
7,Rahman Rahman Iswahyudi,ikin_maheswari@yahoo.co.id,Lead Tactics Agent,Manado,65,7609162.00,true,2025-08-12
8,Rahayu Aqila,hani.hartati1@gmail.co.id,Central Paradigm Orchestrator,Negara,33,17102888.00,true,2025-12-25
9,Ikin Ikin Darmawan,wawan.waluyo19@gmail.co.id,Forward Infrastructure Assistant,Cianjur,39,3192695.00,true,2025-05-10
10,Garan Tampubolon,zizi_elvina@gmail.co.id,Future Metrics Designer,Cianjur,54,5233646.00,true,2026-03-23
11,Wijaya Mahdi,sakura_nasyidah59@yahoo.com,Product Accountability Orchestrator,Sidayu,34,21734308.00,false,2026-03-03
12,Asmuni Budiman,tsabita.gunawan9@gmail.co.id,Investor Functionality Planner,Kuningan,47,6112668.00,true,2025-10-19
13,Yance Yance Agustina,tomi36@yahoo.co.id,Global Implementation Strategist,Taliwang,38,16757363.00,false,2025-08-14
14,Wahyuni Jelita,vinsen94@gmail.co.id,Customer Security Administrator,Kotamobagu,50,7207665.00,false,2025-09-25
15,Unggul Permadi,yessi.wibowo2@gmail.com,Regional Operations Orchestrator,Donggala,34,6053112.00,false,2025-11-18
